名前,No/ぜんこく,No/セントラル,タイプ/0,タイプ/1,進化/0/Lv,進化/0/名前,進化/1/Lv,進化/1/名前,進化/2/Lv,進化/2/名前,種族値/H,種族値/A,種族値/B,種族値/C,種族値/D,種族値/S,種族値/平均,種族値/合計,努力値/H,努力値/A,努力値/B,努力値/C,努力値/D,努力値/S,隠しデータ/捕獲率,隠しデータ/初期なつき,隠しデータ/オス率,隠しデータ/メス率,タマゴ/歩数,タマゴ/グループ/0,タマゴ/グループ/1,特性/通常/0/名前,特性/通常/0/説明,特性/隠れ/名前,特性/隠れ/説明,特性/通常/1/名前,特性/通常/1/説明,No/マウンテン/str,No/マウンテン/num,No/ホウエン/str,No/ホウエン/num,No/コースト/str,No/コースト/num,進化/3/Lv,進化/3/名前,進化/4/Lv,進化/4/名前,進化/5/Lv,進化/5/名前,進化/6/Lv,進化/6/名前,進化/7/Lv,進化/7/名前,進化/8/Lv,進化/8/名前,特性/通常/2/名前,特性/通常/2/説明
シードラ,117,,みず,,1,タッツー,32,シードラ,1,キングドラ,55,65,95,95,45,85,73.3,440,0,0,1,1,0,0,75,70,50,50,5120,水中1,ドラゴン,どくのトゲ,直接攻撃を受けると、30%の確率で相手を『どく』状態にする。,しめりけ,全てのポケモンは技『じばく』『だいばくはつ』及び、特性『ゆうばく』が無効になる。,スナイパー,自分の攻撃が急所に当たると、ダメージが1.5倍ではなく2.25倍になる。,,,194,194,040,40,,,,,,,,,,,,,,
トサキント,118,053,みず,,1,トサキント,33,アズマオウ,,,45,67,60,35,50,63,53.3,320,0,1,0,0,0,0,225,70,50,50,5120,水中2,,すいすい,天気が『あめ』の時、『すばやさ』が2倍になる。,ひらいしん,『でんき』タイプの技を受けるとダメージが無効化され、逆に『とくこう』ランクが1段階上がる。またダブルバトル・トリプルバトルの時、自分以外の全てのポケモンの『でんき』タイプの技の攻撃対象が自分になる。,みずのベール,『やけど』状態にならない。,,,051,51,,,,,,,,,,,,,,,,
アズマオウ,119,054,みず,,1,トサキント,33,アズマオウ,,,80,92,65,65,80,68,75,450,0,2,0,0,0,0,60,70,50,50,5120,水中2,,すいすい,天気が『あめ』の時、『すばやさ』が2倍になる。,ひらいしん,『でんき』タイプの技を受けるとダメージが無効化され、逆に『とくこう』ランクが1段階上がる。またダブルバトル・トリプルバトルの時、自分以外の全てのポケモンの『でんき』タイプの技の攻撃対象が自分になる。,みずのベール,『やけど』状態にならない。,,,052,52,,,,,,,,,,,,,,,,
ヒトデマン,120,,みず,,1,ヒトデマン,1,スターミー,,,30,45,55,70,55,85,56.7,340,0,0,0,0,0,1,225,70,,,5120,水中3 (性別不明),,はっこう,野生のポケモンと出会いやすくなる。,アナライズ,自分の攻撃がターンで一番最後の時、技の威力が1.3倍になる。,しぜんかいふく,他のポケモンに交代すると異常状態が回復する。,,,148,148,034,34,,,,,,,,,,,,,,
スターミー,121,,みず,エスパー,1,ヒトデマン,1,スターミー,,,60,75,85,100,85,115,86.7,520,0,0,0,0,0,2,60,70,,,5120,水中3 (性別不明),,はっこう,野生のポケモンと出会いやすくなる。,アナライズ,自分の攻撃がターンで一番最後の時、技の威力が1.3倍になる。,しぜんかいふく,他のポケモンに交代すると異常状態が回復する。,,,149,149,035,35,,,,,,,,,,,,,,
バリヤード,122,,エスパー,フェアリー,1,マネネ,1,バリヤード,,,40,45,65,100,120,90,76.7,460,0,0,0,0,2,0,45,70,50,50,6400,人型,,ぼうおん,音の技『いびき』『いやしのすず』『いやなおと』『うたう』『エコーボイス』『おしゃべり』『おたけび』『きんぞくおん』『くさぶえ』『さわぐ』『すてゼリフ』『チャームボイス』『ちょうおんぱ』『ないしょばなし』『なきごえ』『バークアウト』『ハイパーボイス』『ばくおんぱ』『ほえる』『ほろびのうた』『むしのさざめき』『りんしょう』を受けない。,テクニシャン,威力が60以下の技の威力が1.5倍になる。威力の変動する技や、威力が修正された場合も影響する。,フィルター,タイプ相性が『こうかは ばつぐん』の技の受けるダメージが3/4になる。例えば、2倍弱点の場合は1.5倍のダメージになる。,,,,,114,114,,,,,,,,,,,,,,
ストライク,123,,むし,ひこう,1,ストライク,1,ハッサム,,,70,110,80,55,80,105,83.3,500,0,1,0,0,0,0,45,70,50,50,6400,虫,,むしのしらせ,HPが1/3以下の時、『むし』タイプの技の威力が1.5倍になる。,ふくつのこころ,相手の技でひるむと、『すばやさ』ランクが1段階上がる。,テクニシャン,威力が60以下の技の威力が1.5倍になる。威力の変動する技や、威力が修正された場合も影響する。,136,136,,,,,,,,,,,,,,,,,,
ルージュラ,124,,こおり,エスパー,1,ムチュール,30,ルージュラ,,,65,50,35,115,95,95,75.8,455,0,0,0,2,0,0,45,70,,100,6400,人型,,どんかん,『メロメロ』『ちょうはつ』『ゆうわく』状態にならない。,かんそうはだ,『ほのお』タイプの技の受けるダメージが1.25倍になる。『みず』タイプの技を受けると、ダメージを受けずHPが最大HPの1/4回復する。また、天気が『ひざしがつよい』の時は毎ターン最大HPの1/8のダメージを受け、『あめ』の時は毎ターンHPが最大HPの1/8回復する。,よちむ,戦闘に出ると相手の覚えている技のうち、最も威力の高い技の名前が分かる。同じ威力の技がある場合はランダム。,084,84,,,,,,,,,,,,,,,,,,
エレブー,125,,でんき,,1,エレキッド,30,エレブー,1,エレキブル,65,83,57,95,85,105,81.7,490,0,0,0,0,0,2,45,70,75,25,6400,人型,,せいでんき,直接攻撃を受けると、30%の確率で相手を『まひ』状態にする。／『でんき』タイプの野生のポケモンと出会いやすくなる。,やるき,『ねむり』状態にならない。技『ねむる』を使えない。／レベルの高い野生のポケモンと出会いやすくなる。,,,,,,,,,,,,,,,,,,,,,,
ブーバー,126,,ほのお,,1,ブビィ,30,ブーバー,1,ブーバーン,65,95,57,100,85,93,82.5,495,0,0,0,2,0,0,45,70,75,25,6400,人型,,ほのおのからだ,直接攻撃を受けると、30%の確率で相手を『やけど』状態にする。／『てもち』にいると、ポケモンのタマゴが2倍かえりやすくなる。,やるき,『ねむり』状態にならない。技『ねむる』を使えない。／レベルの高い野生のポケモンと出会いやすくなる。,,,,,,,,,,,,,,,,,,,,,,
カイロス,127,,むし,,,,,,,,65,125,100,55,70,85,83.3,500,0,2,0,0,0,0,45,70,50,50,6400,虫,,かいりきバサミ,『こうげき』ランクが下がらない。,じしんかじょう,自分の技で相手を倒すと、『こうげき』ランクが1段階上がる。,かたやぶり,相手の特性の影響を受けずに攻撃できる。ただし、攻撃後に受ける効果は消えない。,,,174,174,130,130,,,,,,,,,,,,,,
メガカイロス,127,,むし,ひこう,,,,,,,65,155,120,65,90,105,100,600,0,2,0,0,0,0,45,70,50,50,6400,虫,,スカイスキン,自分の『ノーマル』タイプの技が『ひこう』タイプになり、さらに威力が1.3倍になる。,,,,,,,174,174,130,130,,,,,,,,,,,,,,
ケンタロス,128,,ノーマル,,,,,,,,75,100,95,40,70,110,81.7,490,0,1,0,0,0,1,45,70,100,,5120,陸上,,いかく,戦闘に出たときに相手の『こうげき』ランクを1段階下げる。／レベルの低い野生のポケモンと出会いにくくなる。,ちからずく,追加効果のある技を使うと、追加効果が発動しない代わりに威力が1.3倍になる。,いかりのつぼ,自分への攻撃が急所に当たると、『こうげき』ランクが最大まで上がる。,,,,,125,125,,,,,,,,,,,,,,
コイキング,129,049,みず,,1,コイキング,20,ギャラドス,,,20,10,55,15,20,80,33.3,200,0,0,0,0,0,1,255,70,50,50,1280,水中2,ドラゴン,すいすい,天気が『あめ』の時、『すばやさ』が2倍になる。,びびり,『ゴースト』『むし』『あく』タイプの技を受けた時、『すばやさ』ランクが1段階上がる。,,,,,053,53,,,,,,,,,,,,,,,,
ギャラドス,130,050,みず,ひこう,1,コイキング,20,ギャラドス,,,95,125,79,60,100,81,90,540,0,2,0,0,0,0,45,70,50,50,1280,水中2,ドラゴン,いかく,戦闘に出たときに相手の『こうげき』ランクを1段階下げる。／レベルの低い野生のポケモンと出会いにくくなる。,じしんかじょう,自分の技で相手を倒すと、『こうげき』ランクが1段階上がる。,,,,,054,54,,,,,,,,,,,,,,,,
メガギャラドス,130,050,みず,あく,1,コイキング,20,ギャラドス,,,95,155,109,70,130,81,106.7,640,0,2,0,0,0,0,45,70,50,50,1280,水中2,ドラゴン,かたやぶり,相手の特性の影響を受けずに攻撃できる。ただし、攻撃後に受ける効果は消えない。,,,,,,,054,54,,,,,,,,,,,,,,,,
ラプラス,131,,みず,こおり,,,,,,,130,85,80,85,95,60,89.2,535,2,0,0,0,0,0,45,70,50,50,10240,怪獣,水中1,ちょすい,『みず』タイプの技を受けるとダメージや効果はなくなり、最大HPの1/4回復する。,うるおいボディ,天気が『あめ』の時、ターン終了時に状態異常が回復する。,シェルアーマー,自分への攻撃は急所に当たらない。,,,,,150,150,,,,,,,,,,,,,,
メタモン,132,,ノーマル,,,,,,,,48,48,48,48,48,48,48,288,1,0,0,0,0,0,35,70,,,5120,メタモン (性別不明),,じゅうなん,『まひ』状態にならない。,かわりもの,戦闘に出ると、相手のポケモンに変身し、『へんしん』状態になる。,,スピードパウダー,138,138,,,,,,,,,,,,,,,,,,
イーブイ,133,,ノーマル,,1,イーブイ,1,シャワーズ,1,サンダース,55,55,50,45,65,55,54.2,325,0,0,0,0,1,0,45,70,87.5,12.5,8960,陸上,,にげあし,野生のポケモンとの戦闘の場合、必ず逃げられる。,きけんよち,戦闘に出てきた時、相手が『こうかは ばつぐん』や一撃必殺となる技を持っているかが分かる。技の名前などは分からない。,てきおうりょく,自分の『タイプ』と同じ『タイプ』の技のダメージが1.5倍ではなく2倍になる。,,,,,077,77,1,ブースター,1,エーフィ,1,ブラッキー,1,リーフィア,1,グレイシア,1,ニンフィア,,
シャワーズ,134,,みず,,1,イーブイ,1,シャワーズ,1,サンダース,130,65,60,110,95,65,87.5,525,2,0,0,0,0,0,45,70,87.5,12.5,8960,陸上,,ちょすい,『みず』タイプの技を受けるとダメージや効果はなくなり、最大HPの1/4回復する。,うるおいボディ,天気が『あめ』の時、ターン終了時に状態異常が回復する。,,,,,,,078,78,1,ブースター,1,エーフィ,1,ブラッキー,1,リーフィア,1,グレイシア,1,ニンフィア,,
サンダース,135,,でんき,,1,イーブイ,1,シャワーズ,1,サンダース,65,65,60,110,95,130,87.5,525,0,0,0,0,0,2,45,70,87.5,12.5,8960,陸上,,ちくでん,『でんき』タイプの技を受けるとダメージや効果はなくなり、最大HPの1/4回復する。,はやあし,状態異常の時、『すばやさ』が1.5倍になる。／野生のポケモンと出会いにくくなる。,,,,,,,079,79,1,ブースター,1,エーフィ,1,ブラッキー,1,リーフィア,1,グレイシア,1,ニンフィア,,
ブースター,136,,ほのお,,1,イーブイ,1,シャワーズ,1,サンダース,65,130,60,95,110,65,87.5,525,0,2,0,0,0,0,45,70,87.5,12.5,8960,陸上,,もらいび,『ほのお』タイプの技のダメージや効果を受けず、以後自分の『ほのお』タイプの技の威力が1.5倍になる。,こんじょう,状態異常の時、『こうげき』が1.5倍になる。またその時、『やけど』状態による『こうげき』半減の効果を受けない。,,,,,,,080,80,1,ブースター,1,エーフィ,1,ブラッキー,1,リーフィア,1,グレイシア,1,ニンフィア,,
ポリゴン,137,,ノーマル,,1,ポリゴン,1,ポリゴン2,1,ポリゴンZ,65,60,70,85,75,40,65.8,395,0,0,0,1,0,0,45,70,,,5120,鉱物 (性別不明),,トレース,相手と同じ特性になる。相手が2体いる場合はランダムにどちらかの特性が選ばれる。相手の特性が『てんきや』『トレース』『バトルスイッチ』の場合は効果がない。,アナライズ,自分の攻撃がターンで一番最後の時、技の威力が1.3倍になる。,ダウンロード,相手の『ぼうぎょ』が『とくぼう』より低い場合は『こうげき』ランクを、『とくぼう』の方が低い場合は『とくこう』ランクを1段階上げる。,,,,,,,,,,,,,,,,,,,,
オムナイト,138,,いわ,みず,1,オムナイト,40,オムスター,,,35,40,100,90,55,35,59.2,355,0,0,1,0,0,0,45,70,87.5,12.5,7680,水中1,水中3,すいすい,天気が『あめ』の時、『すばやさ』が2倍になる。,くだけるよろい,物理技を受けると、『ぼうぎょ』ランクが1段階下がり、『すばやさ』ランクが1段階上がる。,シェルアーマー,自分への攻撃は急所に当たらない。,,,,,,,,,,,,,,,,,,,,
オムスター,139,,いわ,みず,1,オムナイト,40,オムスター,,,70,60,125,115,70,55,82.5,495,0,0,2,0,0,0,45,70,87.5,12.5,7680,水中1,水中3,すいすい,天気が『あめ』の時、『すばやさ』が2倍になる。,くだけるよろい,物理技を受けると、『ぼうぎょ』ランクが1段階下がり、『すばやさ』ランクが1段階上がる。,シェルアーマー,自分への攻撃は急所に当たらない。,,,,,,,,,,,,,,,,,,,,
カブト,140,,いわ,みず,1,カブト,40,カブトプス,,,30,80,90,55,45,55,59.2,355,0,0,1,0,0,0,45,70,87.5,12.5,7680,水中1,水中3,すいすい,天気が『あめ』の時、『すばやさ』が2倍になる。,くだけるよろい,物理技を受けると、『ぼうぎょ』ランクが1段階下がり、『すばやさ』ランクが1段階上がる。,カブトアーマー,自分への攻撃は急所に当たらない。,,,,,,,,,,,,,,,,,,,,
カブトプス,141,,いわ,みず,1,カブト,40,カブトプス,,,60,115,105,65,70,80,82.5,495,0,2,0,0,0,0,45,70,87.5,12.5,7680,水中1,水中3,すいすい,天気が『あめ』の時、『すばやさ』が2倍になる。,くだけるよろい,物理技を受けると、『ぼうぎょ』ランクが1段階下がり、『すばやさ』ランクが1段階上がる。,カブトアーマー,自分への攻撃は急所に当たらない。,,,,,,,,,,,,,,,,,,,,
プテラ,142,,いわ,ひこう,,,,,,,80,105,65,60,75,130,85.8,515,0,0,0,0,0,2,45,70,87.5,12.5,8960,飛行,,いしあたま,技『アフロブレイク』『ウッドハンマー』『じごくぐるま』『すてみタックル』『とっしん』『フレアドライブ』『ブレイブバード』『ボルテッカー』『もろはのずつき』『ワイルドボルト』の反動を受けない。技『わるあがき』の反動は受ける。,きんちょうかん,すべての相手は『きのみ』を使用できなくなる。,プレッシャー,技を受けた時、技のPPを2減らす。／レベルの高い野生のポケモンと出会いやすくなる。,,,,,068,68,,,,,,,,,,,,,,
メガプテラ,142,,いわ,ひこう,,,,,,,80,135,85,70,95,150,102.5,615,0,0,0,0,0,2,45,70,87.5,12.5,8960,飛行,,かたいツメ,直接攻撃する技の威力が1.3倍になる。,,,,,,,,,068,68,,,,,,,,,,,,,,
カビゴン,143,139,ノーマル,,1,ゴンベ,1,カビゴン,,,160,110,65,65,110,30,90,540,2,0,0,0,0,0,25,70,87.5,12.5,10240,怪獣,,めんえき,『どく』状態にならない。,くいしんぼう,通常より早く、HPが最大HPの半分以下になると『きのみ』を使う。,あついしぼう,『ほのお』『こおり』タイプの技を受けた時、ダメージが半減する。,,,,,,,,,,,,,,,,,,,,
フリーザー,144,,こおり,ひこう,,,,,,,90,85,100,95,125,85,96.7,580,0,0,0,0,3,0,3,35,,,20480,タマゴ未発見,,プレッシャー,技を受けた時、技のPPを2減らす。／レベルの高い野生のポケモンと出会いやすくなる。,ゆきがくれ,天気が『あられ』の時、相手の技の命中率が0.8倍になる。また、『あられ』によるダメージを受けない。／フィールドの天気が『あられ』の時、野生のポケモンと出会いにくくなる。,,,,,,,151,151,,,,,,,,,,,,,,
サンダー,145,,でんき,ひこう,,,,,,,90,90,85,125,90,100,96.7,580,0,0,0,3,0,0,3,35,,,20480,タマゴ未発見,,プレッシャー,技を受けた時、技のPPを2減らす。／レベルの高い野生のポケモンと出会いやすくなる。,せいでんき,直接攻撃を受けると、30%の確率で相手を『まひ』状態にする。／『でんき』タイプの野生のポケモンと出会いやすくなる。,,,,,,,152,152,,,,,,,,,,,,,,
ファイヤー,146,,ほのお,ひこう,,,,,,,90,100,90,125,85,90,96.7,580,0,0,0,3,0,0,3,35,,,20480,タマゴ未発見,,プレッシャー,技を受けた時、技のPPを2減らす。／レベルの高い野生のポケモンと出会いやすくなる。,ほのおのからだ,直接攻撃を受けると、30%の確率で相手を『やけど』状態にする。／『てもち』にいると、ポケモンのタマゴが2倍かえりやすくなる。,,,,,,,153,153,,,,,,,,,,,,,,
ミニリュウ,147,,ドラゴン,,1,ミニリュウ,30,ハクリュー,55,カイリュー,41,64,45,50,50,50,50,300,0,1,0,0,0,0,45,35,50,50,10240,水中1,ドラゴン,だっぴ,ターンごとに1/3の確率で状態異常が治る。,ふしぎなうろこ,状態異常の時、『ぼうぎょ』が1.5倍になる。,,りゅうのウロコ,145,145,,,,,,,,,,,,,,,,,,
ハクリュー,148,,ドラゴン,,1,ミニリュウ,30,ハクリュー,55,カイリュー,61,84,65,70,70,70,70,420,0,2,0,0,0,0,45,35,50,50,10240,水中1,ドラゴン,だっぴ,ターンごとに1/3の確率で状態異常が治る。,ふしぎなうろこ,状態異常の時、『ぼうぎょ』が1.5倍になる。,,りゅうのウロコ,146,146,,,,,,,,,,,,,,,,,,
カイリュー,149,,ドラゴン,ひこう,1,ミニリュウ,30,ハクリュー,55,カイリュー,91,134,95,100,100,80,100,600,0,3,0,0,0,0,45,35,50,50,10240,水中1,ドラゴン,せいしんりょく,相手の技で『ひるみ』状態にならない。技『きあいパンチ』には影響しない。,マルチスケイル,自分の残りHPが最大値の時、受けるダメージが半減される。,,,147,147,,,,,,,,,,,,,,,,,,
ミュウツー,150,,エスパー,,,,,,,,106,110,90,154,90,130,113.3,680,0,0,0,3,0,0,3,0,,,30720,タマゴ未発見,,プレッシャー,技を受けた時、技のPPを2減らす。／レベルの高い野生のポケモンと出会いやすくなる。,きんちょうかん,すべての相手は『きのみ』を使用できなくなる。,,,151,151,,,,,,,,,,,,,,,,,,
メガミュウツーX,150,,エスパー,かくとう,,,,,,,106,190,100,154,100,130,130,780,0,0,0,3,0,0,3,0,,,30720,タマゴ未発見,,ふくつのこころ,相手の技でひるむと、『すばやさ』ランクが1段階上がる。,,,,,151,151,,,,,,,,,,,,,,,,,,
メガミュウツーY,150,,エスパー,,,,,,,,106,150,70,194,120,140,130,780,0,0,0,3,0,0,3,0,,,30720,タマゴ未発見,,ふみん,『ねむり』状態にならない。技『ねむる』を使えない。,,,,,151,151,,,,,,,,,,,,,,,,,,
ミュウ,151,,エスパー,,,,,,,,100,100,100,100,100,100,100,600,3,0,0,0,0,0,45,100,,,30720,タマゴ未発見,,シンクロ,『どく』『まひ』『やけど』状態になった時、相手も同じ状態異常になる。／同じ『せいかく』の野生のポケモンと出会いやすくなる。,,,,,,,,,,,,,,,,,,,,,,,,
チコリータ,152,,くさ,,1,チコリータ,16,ベイリーフ,32,メガニウム,45,49,65,49,65,45,53,318,0,0,0,0,1,0,45,70,87.5,12.5,5120,怪獣,植物,しんりょく,HPが1/3以下の時、『くさ』タイプの技の威力が1.5倍になる。,リーフガード,天気が『ひざしがつよい』の時、状態異常にならない。,,,,,,,,,,,,,,,,,,,,,,
ベイリーフ,153,,くさ,,1,チコリータ,16,ベイリーフ,32,メガニウム,60,62,80,63,80,60,67.5,405,0,0,1,0,1,0,45,70,87.5,12.5,5120,怪獣,植物,しんりょく,HPが1/3以下の時、『くさ』タイプの技の威力が1.5倍になる。,リーフガード,天気が『ひざしがつよい』の時、状態異常にならない。,,,,,,,,,,,,,,,,,,,,,,
メガニウム,154,,くさ,,1,チコリータ,16,ベイリーフ,32,メガニウム,80,82,100,83,100,80,87.5,525,0,0,1,0,2,0,45,70,87.5,12.5,5120,怪獣,植物,しんりょく,HPが1/3以下の時、『くさ』タイプの技の威力が1.5倍になる。,リーフガード,天気が『ひざしがつよい』の時、状態異常にならない。,,,,,,,,,,,,,,,,,,,,,,
ヒノアラシ,155,,ほのお,,1,ヒノアラシ,14,マグマラシ,36,バクフーン,39,52,43,60,50,65,51.5,309,0,0,0,0,0,1,45,70,87.5,12.5,5120,陸上,,もうか,HPが1/3以下の時、『ほのお』タイプの技の威力が1.5倍になる。,もらいび,『ほのお』タイプの技のダメージや効果を受けず、以後自分の『ほのお』タイプの技の威力が1.5倍になる。,,,,,,,,,,,,,,,,,,,,,,
マグマラシ,156,,ほのお,,1,ヒノアラシ,14,マグマラシ,36,バクフーン,58,64,58,80,65,80,67.5,405,0,0,0,1,0,1,45,70,87.5,12.5,5120,陸上,,もうか,HPが1/3以下の時、『ほのお』タイプの技の威力が1.5倍になる。,もらいび,『ほのお』タイプの技のダメージや効果を受けず、以後自分の『ほのお』タイプの技の威力が1.5倍になる。,,,,,,,,,,,,,,,,,,,,,,
バクフーン,157,,ほのお,,1,ヒノアラシ,14,マグマラシ,36,バクフーン,78,84,78,109,85,100,89,534,0,0,0,3,0,0,45,70,87.5,12.5,5120,陸上,,もうか,HPが1/3以下の時、『ほのお』タイプの技の威力が1.5倍になる。,もらいび,『ほのお』タイプの技のダメージや効果を受けず、以後自分の『ほのお』タイプの技の威力が1.5倍になる。,,,,,,,,,,,,,,,,,,,,,,
ワニノコ,158,,みず,,1,ワニノコ,18,アリゲイツ,30,オーダイル,50,65,64,44,48,43,52.3,314,0,1,0,0,0,0,45,70,87.5,12.5,5120,怪獣,水中1,げきりゅう,HPが1/3以下の時、『みず』タイプの技の威力が1.5倍になる。,ちからずく,追加効果のある技を使うと、追加効果が発動しない代わりに威力が1.3倍になる。,,,,,,,,,,,,,,,,,,,,,,
アリゲイツ,159,,みず,,1,ワニノコ,18,アリゲイツ,30,オーダイル,65,80,80,59,63,58,67.5,405,0,1,1,0,0,0,45,70,87.5,12.5,5120,怪獣,水中1,げきりゅう,HPが1/3以下の時、『みず』タイプの技の威力が1.5倍になる。,ちからずく,追加効果のある技を使うと、追加効果が発動しない代わりに威力が1.3倍になる。,,,,,,,,,,,,,,,,,,,,,,
オーダイル,160,,みず,,1,ワニノコ,18,アリゲイツ,30,オーダイル,85,105,100,79,83,78,88.3,530,0,2,1,0,0,0,45,70,87.5,12.5,5120,怪獣,水中1,げきりゅう,HPが1/3以下の時、『みず』タイプの技の威力が1.5倍になる。,ちからずく,追加効果のある技を使うと、追加効果が発動しない代わりに威力が1.3倍になる。,,,,,,,,,,,,,,,,,,,,,,
オタチ,161,109,ノーマル,,1,オタチ,15,オオタチ,,,35,46,34,35,45,20,35.8,215,0,1,0,0,0,0,255,70,50,50,3840,陸上,,にげあし,野生のポケモンとの戦闘の場合、必ず逃げられる。,おみとおし,戦闘に出てきた時、すべての相手の持っている道具の名前が分かる。,するどいめ,命中率ランクが下がらない。相手の回避率ランクが上がっていても、影響を受けない。／レベルの低い野生のポケモンと出会いにくくなる。,,,,,,,,,,,,,,,,,,,,
オオタチ,162,110,ノーマル,,1,オタチ,15,オオタチ,,,85,76,64,45,55,90,69.2,415,0,0,0,0,0,2,90,70,50,50,3840,陸上,,にげあし,野生のポケモンとの戦闘の場合、必ず逃げられる。,おみとおし,戦闘に出てきた時、すべての相手の持っている道具の名前が分かる。,するどいめ,命中率ランクが下がらない。相手の回避率ランクが上がっていても、影響を受けない。／レベルの低い野生のポケモンと出会いにくくなる。,,,,,,,,,,,,,,,,,,,,
ホーホー,163,,ノーマル,ひこう,1,ホーホー,20,ヨルノズク,,,60,30,30,36,56,50,43.7,262,1,0,0,0,0,0,255,70,50,50,3840,飛行,,ふみん,『ねむり』状態にならない。技『ねむる』を使えない。,いろめがね,自分の技のタイプ相性が『こうかは いまひとつのようだ』の場合、1/2倍の時は通常に、1/4倍の時は1/2倍になる。,するどいめ,命中率ランクが下がらない。相手の回避率ランクが上がっていても、影響を受けない。／レベルの低い野生のポケモンと出会いにくくなる。,117,117,,,,,,,,,,,,,,,,,,
ヨルノズク,164,,ノーマル,ひこう,1,ホーホー,20,ヨルノズク,,,100,50,50,76,96,70,73.7,442,2,0,0,0,0,0,90,70,50,50,3840,飛行,,ふみん,『ねむり』状態にならない。技『ねむる』を使えない。,いろめがね,自分の技のタイプ相性が『こうかは いまひとつのようだ』の場合、1/2倍の時は通常に、1/4倍の時は1/2倍になる。,するどいめ,命中率ランクが下がらない。相手の回避率ランクが上がっていても、影響を受けない。／レベルの低い野生のポケモンと出会いにくくなる。,118,118,,,,,,,,,,,,,,,,,,
レディバ,165,074,むし,ひこう,1,レディバ,18,レディアン,,,40,20,30,40,80,55,44.2,265,0,0,0,0,1,0,255,70,50,50,3840,虫,,むしのしらせ,HPが1/3以下の時、『むし』タイプの技の威力が1.5倍になる。,びびり,『ゴースト』『むし』『あく』タイプの技を受けた時、『すばやさ』ランクが1段階上がる。,はやおき,『ねむり』状態の時、ねむり状態のターン経過が2倍になり、通常より早く回復する。,,,,,,,,,,,,,,,,,,,,
レディアン,166,075,むし,ひこう,1,レディバ,18,レディアン,,,55,35,50,55,110,85,65,390,0,0,0,0,2,0,90,70,50,50,3840,虫,,むしのしらせ,HPが1/3以下の時、『むし』タイプの技の威力が1.5倍になる。,てつのこぶし,パンチ系の技『アームハンマー』『かみなりパンチ』『きあいパンチ』『グロウパンチ』『コメットパンチ』『シャドーパンチ』『スカイアッパー』『ドレインパンチ』『ばくれつパンチ』『バレットパンチ』『ピヨピヨパンチ』『ほのおのパンチ』『マッハパンチ』『メガトンパンチ』『れいとうパンチ』『れんぞくパンチ』の威力が1.2倍になる。,はやおき,『ねむり』状態の時、ねむり状態のターン経過が2倍になり、通常より早く回復する。,,,,,,,,,,,,,,,,,,,,
イトマル,167,,むし,どく,1,イトマル,22,アリアドス,,,40,60,40,40,40,30,41.7,250,0,1,0,0,0,0,255,70,50,50,3840,虫,,むしのしらせ,HPが1/3以下の時、『むし』タイプの技の威力が1.5倍になる。,スナイパー,自分の攻撃が急所に当たると、ダメージが1.5倍ではなく2.25倍になる。,ふみん,『ねむり』状態にならない。技『ねむる』を使えない。,107,107,,,,,,,,,,,,,,,,,,
アリアドス,168,,むし,どく,1,イトマル,22,アリアドス,,,70,90,70,60,60,40,65,390,0,2,0,0,0,0,90,70,50,50,3840,虫,,むしのしらせ,HPが1/3以下の時、『むし』タイプの技の威力が1.5倍になる。,スナイパー,自分の攻撃が急所に当たると、ダメージが1.5倍ではなく2.25倍になる。,ふみん,『ねむり』状態にならない。技『ねむる』を使えない。,108,108,,,,,,,,,,,,,,,,,,
クロバット,169,147,どく,ひこう,1,ズバット,22,ゴルバット,1,クロバット,85,90,80,70,80,130,89.2,535,0,0,0,0,0,3,90,70,50,50,3840,飛行,,せいしんりょく,相手の技で『ひるみ』状態にならない。技『きあいパンチ』には影響しない。,すりぬけ,相手の『リフレクター』『ひかりのかべ』『しろいきり』『しんぴのまもり』『みがわり』の効果を受けない。,,,,,067,67,,,,,,,,,,,,,,,,
チョンチー,170,,みず,でんき,1,チョンチー,27,ランターン,,,75,38,38,56,56,67,55,330,1,0,0,0,0,0,190,70,50,50,5120,水中2,,ちくでん,『でんき』タイプの技を受けるとダメージや効果はなくなり、最大HPの1/4回復する。,ちょすい,『みず』タイプの技を受けるとダメージや効果はなくなり、最大HPの1/4回復する。,はっこう,野生のポケモンと出会いやすくなる。,,,190,190,147,147,,,,,,,,,,,,,,
ランターン,171,,みず,でんき,1,チョンチー,27,ランターン,,,125,58,58,76,76,67,76.7,460,2,0,0,0,0,0,75,70,50,50,5120,水中2,,ちくでん,『でんき』タイプの技を受けるとダメージや効果はなくなり、最大HPの1/4回復する。,ちょすい,『みず』タイプの技を受けるとダメージや効果はなくなり、最大HPの1/4回復する。,はっこう,野生のポケモンと出会いやすくなる。,,,191,191,148,148,,,,,,,,,,,,,,
